title,time,username,q1,q2,q3,q4,q5,q6,q7,q8,q9
Panorama Forbidden City,~2021-02-04 10:07,unknown,Yes,10-Jan,details are accurate,"Work/study gaps, leisure time",student,C. Insufficient coverage area,A. Unpopular open areas,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-04 10:10,unknown,no,10-Jan,details are accurate,"Work/study gaps, leisure time","Cultural and Expo enthusiasts, history lovers, literary youth, travel enthusiasts",C. Insufficient coverage area,C. More indoor scenes,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-04 10:26,unknown,Yes,20-Nov,beautiful form,"Between work/study, during leisure, during study and work, during meals","history buff, student",B. Basic Satisfaction,C. More indoor scenes,D. Other areas,
Panorama Forbidden City,~2021-02-04 10:40,unknown,Yes,10-Jan,Rich content,"Work/study gaps, leisure time","Cultural and blog enthusiasts, history lovers, national tide fans, literary youth, travel enthusiasts",B. Basic Satisfaction,C. More indoor scenes,"A. ""Front facing"" area",
Panorama Forbidden City,~2021-02-04 10:55,unknown,Yes,40 or more,Shooting range,"On the way to and from get off work or going out, between work/study, at leisure, while studying and working, while dining, when socializing with like-minded people, before going to bed at night/waking up early in the morning","Cultural and blogging enthusiasts, history lovers, collectors, fans of national trends, Internet technology enthusiasts, students, practitioners in the cultural and blogging industry, literary youth, traditional culture lovers, international friends who love Chinese culture, travel enthusiasts, others",D. Too little visible area,C. More indoor scenes,D. Other areas,
Panorama Forbidden City,~2021-02-04 11:15,unknown,uncertain,10-Jan,Rich content,"Work/study gaps, leisure time","Students, literary youth, traditional culture lovers",C. Insufficient coverage area,A. Unpopular open areas,D. Other areas,
Panorama Forbidden City,~2021-02-04 11:27,unknown,Yes,20-Nov,Shooting range,"Work/study gaps, leisure time","Guochao fan, Internet technology enthusiast, student",B. Basic Satisfaction,B. Partially closed areas,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-04 11:28,unknown,Yes,40 or more,Shooting range,"Between work/study, at leisure, when socializing with like-minded people, before going to bed at night/waking up in the morning","student, youth",A. Fully satisfied,A. Unpopular open areas,D. Other areas,
Panorama Forbidden City,~2021-02-04 11:39,unknown,no,21-40 pieces,Shooting range,"Work/study gaps, leisure time","student, travel enthusiast",D. Too little visible area,C. More indoor scenes,"C. ""After bed"" area",
Panorama Forbidden City,~2021-02-04 12:10,unknown,uncertain,40 or more,details are accurate,"Work/study gaps, leisure time","blogger, student",C. Insufficient coverage area,C. More indoor scenes,"C. ""After bed"" area",
